Scientific.name,Abbreviation,SOURCEDB,Common.name,Taxon.ID,No.LR
Strongylocentrotus purpuratus,Spu,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Purple sea urchin,7668,169
Drosophila sechellia,Dse,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7238,131
Drosophila erecta,Der,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7220,129
Drosophila yakuba,Dya,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7245,127
Drosophila simulans,Dsi,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7240,126
Drosophila persimilis,Dpe,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7234,121
Drosophila virilis,Dvi,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7244,114
Drosophila ananassae,Dan,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7217,113
Drosophila mojavensis,Dmo,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7230,113
Ochotona princeps,Opr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Pika,9978,112
Mustela putorius furo,Mpf,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Ferret,9669,111
Apis mellifera,Aml,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Honey bee,7460,111
Drosophila grimshawi,Dgr,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Fruit fly,7222,105
